項目,P001 比準地 樹德段1415,P002 樹德段284,P003 太平段367+917,P004 文林段317
7 面積(M²),25.44（劣）※圖算值，待登記面積,119.09（稍劣）※圖算值，待登記面積,116.06（稍劣）※圖算值，待登記面積,703.68（優）※圖算值，待登記面積
8 寬度(M),18（原值 17.91，稍優）※以啟智街為出入面，待確認,14（原值 13.77，普通）※以啟智街為出入面，待確認,7（原值 7.18，稍劣）※以鎮前街367巷4弄為出入面，待確認,59（原值 58.52，優）※以潭興街為出入面，待確認
9 深度(M),2（原值 2.30，劣）,11（原值 11.05，普通）,17（原值 17.02，優）,14（原值 13.84，普通）
10 形狀,長條形（待看圖）,不規則形（矩形度<0.85）（待看圖）,方形／梯形（矩形度≥0.85）（待看圖）,方形／梯形（矩形度≥0.85）（待看圖）
11 臨街情形,兩條路名（路角地或雙面，待看圖）,兩條路名（路角地或雙面，待看圖）,單面臨街候選（以 367 為準；合併外邊界待覆核）,三條以上路名（待看圖）
12 地勢,平坦（表3 區段「極平坦堅硬」；宗地相對出入道路高低待現場）,平坦（表3 區段「極平坦堅硬」；宗地相對出入道路高低待現場）,平坦（表3 區段「極平坦堅硬」；宗地相對出入道路高低待現場）,平坦（表3 區段「極平坦堅硬」；宗地相對出入道路高低待現場）
13 道路種類,"巷道（OSM residential, service/alley）：啟智街","巷道（OSM residential, service/alley）：啟智街",巷道（OSM service/alley）：鎮前街367巷4弄,"巷道（OSM residential, service/alley）：潭興街"
14 面前道路寬度,啟智街：待量（OSM 無 width；主辦方口頭皆 ≤8m，仍可能落在普通／稍劣／劣）,啟智街：待量（OSM 無 width；主辦方口頭皆 ≤8m，仍可能落在普通／稍劣／劣）,鎮前街367巷4弄：待量（OSM 無 width；主辦方口頭皆 ≤8m，仍可能落在普通／稍劣／劣）,潭興街：待量（OSM 無 width；主辦方口頭皆 ≤8m，仍可能落在普通／稍劣／劣）
15 接近學校之程度,市立育林國小 175m（優）,私立樹人家商 195m（優）,市立大同國小 226m（優）,市立文林國小 88m（優）
16 接近市場之程度,美廉社 541m（普通）,全聯福利中心 215m（優）,美廉社 77m（優）,家樂福 280m（稍優）
17 接近公園、廣場之程度,樹人體健廣場 86m（優）,長壽親子公園 186m（優）,(無名 node/3311969242) 136m（優）,(無名 way/702336842) 581m（普通）
18 接近車站之程度,樹林站後站 983m（普通）,樹林站後站 411m（稍優）,南樹林站 780m（普通）,樹林站後站 796m（普通）
19 接近商圈之程度,尚未取得可用商圈範圍（經濟部盤點清冊待查）；參考點 樹林站後站 983m，非定稿,尚未取得可用商圈範圍（經濟部盤點清冊待查）；參考點 樹林站後站 411m，非定稿,尚未取得可用商圈範圍（經濟部盤點清冊待查）；參考點 南樹林站 780m，非定稿,尚未取得可用商圈範圍（經濟部盤點清冊待查）；參考點 樹林站後站 796m，非定稿
20 嫌惡設施(類型),高壓鐵塔：樹安～南樹線020 62m（劣）；另 500m 內：變電所 樹林變電所 69m、殯葬 樹林區第五公墓 119m、高壓鐵塔 樹安～南樹線019 137m、高壓鐵塔 樹安～南樹線018 149m、高壓鐵塔 樹安～南樹線017 210m ※需航照與 2022 狀態確認,高壓鐵塔：頂埔～樹德線豐林分歧線004 330m（稍劣）；另 500m 內：高壓鐵塔 樹安～南樹線014 425m、高壓鐵塔 頂埔～樹德線豐林分歧線005 451m ※需航照與 2022 狀態確認,殯葬：(無名 way/366250195) 293m（稍劣）；另 500m 內：變電所 樹林變電所 447m、高壓鐵塔 樹安～南樹線020 478m ※需航照與 2022 狀態確認,變電所：樹安變電所（台灣電力公司 69000;22000） 191m（劣）；另 500m 內：高壓鐵塔 (無名 node/5053697993) 276m、變電所 豐林變電所 313m、高壓鐵塔 頂埔～樹德線豐林分歧線005 314m、高壓鐵塔 (無名 node/5053697994) 340m ※需航照與 2022 狀態確認
21 停車方便性,最近路外停車場 樹林區第八平面停車場 142m（49車位；時段 0~24時；小型車計時20元;小型車月租2500元;身障車月租2200元;）；等級優／普通／劣待人工，需臨停資格與路邊停車證據,最近路外停車場 樹林區長壽公園地下停車場 190m（224車位；時段 0~24時；小型車計時30元;小型車月租3600元;身障車月租1800元;機車計次20元;機）；等級優／普通／劣待人工，需臨停資格與路邊停車證據,最近路外停車場 大同國民小學活動中心地下停車場 212m（24車位；時段 0~24時；小型車月租3500元;）；等級優／普通／劣待人工，需臨停資格與路邊停車證據,最近路外停車場 樹林區文林國民小學停車場 108m（41車位；時段 平日18時至翌日7時、國定例假日24小時；小型車計次50元;小型車計次100元;小型車計次50元;小型車計時100元;小型）；等級優／普通／劣待人工，需臨停資格與路邊停車證據
22 使用分區,第一種住宅區（稍優：住宅區；P001 捷開區依變更前分區，主辦方口頭）,第一種住宅區（稍優：住宅區；P001 捷開區依變更前分區，主辦方口頭）,第一種住宅區（稍優：住宅區；P001 捷開區依變更前分區，主辦方口頭）,第一種住宅區（稍優：住宅區；P001 捷開區依變更前分區，主辦方口頭）
23 建蔽率(%),50%（稍劣：50% 以上未滿 60%）,50%（稍劣：50% 以上未滿 60%）,50%（稍劣：50% 以上未滿 60%）,50%（稍劣：50% 以上未滿 60%）
24 容積率(%),200%（表3 原值 260%；主辦方口頭：臨 8m 以下巷道一律 200%；個別因素依土地開發分析法，四者相同免試算）,200%（表3 原值 200%；主辦方口頭：臨 8m 以下巷道一律 200%；個別因素依土地開發分析法，四者相同免試算）,200%（表3 原值 260%；主辦方口頭：臨 8m 以下巷道一律 200%；個別因素依土地開發分析法，四者相同免試算）,200%（表3 原值 260%；主辦方口頭：臨 8m 以下巷道一律 200%；個別因素依土地開發分析法，四者相同免試算）
25 有無禁限建,無（優；表3）,無（優；表3）,無（優；表3）,無（優；表3）
6 其他（無尾巷）,待確認（需查道路拓撲與現場；無＝優、有＝劣）,待確認（需查道路拓撲與現場；無＝優、有＝劣）,待確認（需查道路拓撲與現場；無＝優、有＝劣）,待確認（需查道路拓撲與現場；無＝優、有＝劣）
